x,y,z,a,b,c,e,coil1,coil2,timestamp,
7.9369176105,1.0026658685,0,180.936,0,180,1,100,100,0.04,1
7.748665289,1.9895190973,0,181.404,0,180,1,150,100,0.08,2
7.4382118871,2.9449964215,0,181.872,0,180,1,2000,2000,0.12,3
7.0104534404,3.8540293928,0,182.34,0,180,1,2000,2000,0.16,4
6.472135955,4.7022820183,0,182.808,0,180,1,2000,2000,0.2,5
5.8317490194,5.4763768474,0,183.276,0,180,1,2000,2000,0.24,6
5.099391918,6.1641059422,0,183.744,0,180,1,2000,2000,0.28,7
4.2866143598,6.754623404,0,184.212,0,180,1,2000,2000,0.32,8
3.4062343325,7.2386164197,0,184.68,0,180,1,2000,2000,0.36,9
2.472135955,7.6084521304,0,185.148,0,180,1,2000,2000,0.4,10
1.4990505167,7.8582980058,0,185.616,0,180,1,2000,2000,0.44,11
0.5023241562,7.9842138274,0,186.084,0,180,1,2000,2000,0.48,12
-0.5023241562,7.9842138274,0,186.552,0,180,1,2000,2000,0.52,13
-1.4990505167,7.8582980058,0,187.02,0,180,1,2000,2000,0.56,14
-2.472135955,7.6084521304,0,187.488,0,180,1,2000,2000,0.6,15
-3.4062343325,7.2386164197,0,187.956,0,180,1,2000,2000,0.64,16
-4.2866143598,6.754623404,0,188.424,0,180,1,2000,2000,0.68,17
-5.099391918,6.1641059422,0,188.892,0,180,1,2000,2000,0.72,18
-5.8317490194,5.4763768474,0,189.36,0,180,1,2000,2000,0.76,19
-6.472135955,4.7022820183,0,189.828,0,180,1,2000,2000,0.8,20
-7.0104534404,3.8540293928,0,190.296,0,180,1,2000,2000,0.84,21
-7.4382118871,2.9449964215,0,190.764,0,180,1,2000,2000,0.88,22
-7.748665289,1.9895190973,0,191.232,0,180,1,2000,2000,0.92,23
-7.9369176105,1.0026658685,0,191.7,0,180,1,2000,2000,0.96,24
-8,-2.57299623948262E-15,0,192.168,0,180,1,2000,2000,1,25
-7.9369176105,-1.0026658685,0,192.636,0,180,1,2000,2000,1.04,26
-7.748665289,-1.9895190973,0,193.104,0,180,1,2000,2000,1.08,27
-7.4382118871,-2.9449964215,0,193.572,0,180,1,2000,2000,1.12,28
-7.0104534404,-3.8540293928,0,194.04,0,180,1,2000,2000,1.16,29
-6.472135955,-4.7022820183,0,194.508,0,180,1,2000,2000,1.2,30
-5.8317490194,-5.4763768474,0,194.976,0,180,1,2000,2000,1.24,31
-5.099391918,-6.1641059422,0,195.444,0,180,1,2000,2000,1.28,32
-4.2866143598,-6.754623404,0,195.912,0,180,1,2000,2000,1.32,33
-3.4062343325,-7.2386164197,0,196.38,0,180,1,2000,2000,1.36,34
-2.472135955,-7.6084521304,0,196.848,0,180,1,2000,2000,1.4,35
-1.4990505167,-7.8582980058,0,197.316,0,180,1,2000,2000,1.44,36
-0.5023241562,-7.9842138274,0,197.784,0,180,1,2000,2000,1.48,37
0.5023241562,-7.9842138274,0,198.252,0,180,1,2000,2000,1.52,38
1.4990505167,-7.8582980058,0,198.72,0,180,1,2000,2000,1.56,39
2.472135955,-7.6084521304,0,199.188,0,180,1,2000,2000,1.6,40
3.4062343325,-7.2386164197,0,199.656,0,180,1,2000,2000,1.64,41
4.2866143598,-6.754623404,0,200.124,0,180,1,2000,2000,1.68,42
5.099391918,-6.1641059422,0,200.592,0,180,1,2000,2000,1.72,43
5.8317490194,-5.4763768474,0,201.06,0,180,1,2000,2000,1.76,44
6.472135955,-4.7022820183,0,201.528,0,180,1,2000,2000,1.8,45
7.0104534404,-3.8540293928,0,201.996,0,180,1,2000,2000,1.84,46
7.4382118871,-2.9449964215,0,202.464,0,180,1,2000,2000,1.88,47
7.748665289,-1.9895190973,0,202.932,0,180,1,2000,2000,1.92,48
7.9369176105,-1.0026658685,0,203.4,0,180,1,2000,2000,1.96,49
8,5.14599247896524E-15,0,203.868,0,180,1,2000,2000,2,50
7.9369176105,1.0026658685,0,204.336,0,180,1,2000,2000,2.04,51
7.748665289,1.9895190973,0,204.804,0,180,1,2000,2000,2.08,52
7.4382118871,2.9449964215,0,205.272,0,180,1,2000,2000,2.12,53
7.0104534404,3.8540293928,0,205.74,0,180,1,2000,2000,2.16,54
6.472135955,4.7022820183,0,206.208,0,180,1,2000,2000,2.2,55
5.8317490194,5.4763768474,0,206.676,0,180,1,2000,2000,2.24,56
5.099391918,6.1641059422,0,207.144,0,180,1,2000,2000,2.28,57
4.2866143598,6.754623404,0,207.612,0,180,1,2000,2000,2.32,58
3.4062343325,7.2386164197,0,208.08,0,180,1,2000,2000,2.36,59
